Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1,<0,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,>=7,male single,X>60,skilled,good
2,0<=X<200,existing paid,radio/tv,5000<=X<10000,<100,1<=X<4,female div/dep/mar,X<=23,skilled,bad
3,no checking,critical/other existing credit,education,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,unskilled resident,good
4,<0,existing paid,furniture/equipment,5000<=X<10000,<100,4<=X<7,male single,40<X<=50,skilled,good
5,<0,delayed previously,new car,2500<=X<5000,<100,1<=X<4,male single,50<X<=60,skilled,bad
6,no checking,existing paid,education,5000<=X<10000,no known savings,1<=X<4,male single,30<X<=40,unskilled resident,good
7,no checking,existing paid,furniture/equipment,2500<=X<5000,500<=X<1000,>=7,male single,50<X<=60,skilled,good
8,0<=X<200,existing paid,used car,5000<=X<10000,<100,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,good
9,no checking,existing paid,radio/tv,2500<=X<5000,>=1000,4<=X<7,male div/sep,X>60,unskilled resident,good
10,0<=X<200,critical/other existing credit,new car,5000<=X<10000,<100,unemployed,male mar/wid,23<X<=30,high qualif/self emp/mgmt,bad
11,0<=X<200,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
12,<0,existing paid,business,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
13,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,X<=23,skilled,good
14,<0,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,50<X<=60,unskilled resident,bad
15,<0,existing paid,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
16,<0,existing paid,radio/tv,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,30<X<=40,unskilled resident,bad
17,no checking,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,>=7,male single,50<X<=60,skilled,good
18,<0,no credits/all paid,business,5000<=X<10000,no known savings,<1,male single,23<X<=30,skilled,good
19,0<=X<200,existing paid,used car,X>=10000,<100,>=7,female div/dep/mar,40<X<=50,high qualif/self emp/mgmt,bad
20,no checking,existing paid,radio/tv,2500<=X<5000,500<=X<1000,>=7,male single,30<X<=40,skilled,good
21,no checking,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,good
22,<0,existing paid,radio/tv,2500<=X<5000,500<=X<1000,1<=X<4,male single,40<X<=50,skilled,good
23,<0,critical/other existing credit,new car,1000<=X<2500,<100,<1,male single,40<X<=50,unskilled resident,good
24,0<=X<200,critical/other existing credit,used car,1000<=X<2500,100<=X<500,<1,male single,40<X<=50,skilled,good
25,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,no known savings,1<=X<4,male mar/wid,23<X<=30,skilled,good
26,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
27,no checking,no credits/all paid,radio/tv,X<1000,<100,>=7,male mar/wid,30<X<=40,unskilled resident,good
28,>=200,all paid,radio/tv,X<1000,>=1000,1<=X<4,female div/dep/mar,40<X<=50,skilled,good
29,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
30,<0,delayed previously,business,5000<=X<10000,<100,>=7,male single,X>60,skilled,bad
31,0<=X<200,existing paid,business,1000<=X<2500,>=1000,<1,male mar/wid,30<X<=40,skilled,good
32,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
33,0<=X<200,existing paid,new car,5000<=X<10000,100<=X<500,1<=X<4,male single,23<X<=30,skilled,good
34,no checking,critical/other existing credit,business,1000<=X<2500,no known savings,>=7,male single,50<X<=60,unskilled resident,good
35,>=200,existing paid,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,good
36,0<=X<200,critical/other existing credit,radio/tv,2500<=X<5000,<100,<1,male single,23<X<=30,unskilled resident,bad
